id,ime
11026516,AJDOVŠČINA
11026524,BELTINCI
11026532,BLED
11026559,BOHINJ
11026567,BOROVNICA
11026575,BOVEC
11026583,BRDA
11026591,BREZOVICA
11026605,BREŽICE
11026613,TIŠINA
11026621,CELJE
11026630,CERKLJE NA GORENJSKEM
11026648,CERKNICA
11026656,CERKNO
11026664,ČRENŠOVCI
11026672,ČRNA NA KOROŠKEM
11026699,ČRNOMELJ
11026702,DESTRNIK
11026729,DIVAČA
11026737,DOBREPOLJE
11026745,DOBROVA-POLHOV GRADEC
11026753,DOL PRI LJUBLJANI
11026761,DOMŽALE
11026770,DORNAVA
11026788,DRAVOGRAD
11026796,DUPLEK
11026800,GORENJA VAS-POLJANE
11026818,GORIŠNICA
11026826,GORNJA RADGONA
11026834,GORNJI GRAD
11026842,GORNJI PETROVCI
11026869,GROSUPLJE
11026877,ŠALOVCI
11026885,HRASTNIK
11026893,IDRIJA
11026907,IG
11026915,IVANČNA GORICA
11026923,IZOLA
11026931,JURŠINCI
11026940,KANAL
11026958,KOBARID
11026966,KOČEVJE
11026974,KOZJE
11026982,KRŠKO
11027008,KUNGOTA
11027016,LENART
11027024,LITIJA
11027032,LJUBNO
11027059,LOGATEC
11027067,LOŠKI POTOK
11027075,LUČE
11027083,MAJŠPERK
11027091,MENGEŠ
11027105,MEŽICA
11027113,MISLINJA
11027121,MORAVČE
11027130,MORAVSKE TOPLICE
11027148,MURSKA SOBOTA
11027156,NOVA GORICA
11027164,ODRANCI
11027172,ORMOŽ
11027199,PESNICA
11027202,PODČETRTEK
11027229,POSTOJNA
11027237,PREDDVOR
11027245,RAČE-FRAM
11027253,RADENCI
11027261,RADLJE OB DRAVI
11027270,RADOVLJICA
11027288,RAVNE NA KOROŠKEM
11027296,RIBNICA
11027300,ROGATEC
11027318,ROGAŠOVCI
11027326,ROGAŠKA SLATINA
11027334,RUŠE
11027342,SEMIČ
11027369,SEVNICA
11027377,SEŽANA
11027385,SLOVENJ GRADEC
11027393,SLOVENSKA BISTRICA
11027407,SLOVENSKE KONJICE
11027415,STARŠE
11027423,SVETI JURIJ OB ŠČAVNICI
11027431,ŠENČUR
11027440,ŠENTILJ
11027458,ŠENTJERNEJ
11027466,ŠENTJUR
11027474,ŠKOCJAN
11027482,ŠKOFJA LOKA
11027504,ŠKOFLJICA
11027512,ŠMARJE PRI JELŠAH
11027539,ŠMARTNO OB PAKI
11027547,ŠOŠTANJ
11027555,ŠTORE
11027563,TOLMIN
11027571,TRBOVLJE
11027580,TREBNJE
11027598,TRŽIČ
11027601,TURNIŠČE
11027610,VELENJE
11027628,VELIKE LAŠČE
11027636,VIPAVA
11027644,VODICE
11027652,VRHNIKA
11027679,ZAGORJE OB SAVI
11027687,ZREČE
11027695,ŽIRI
11027709,HRPELJE-KOZINA
11027717,ILIRSKA BISTRICA
11027725,JESENICE
11027733,KAMNIK
11027741,KIDRIČEVO
11027750,KOBILJE
11027768,KOMEN
11027776,KOPER
11027784,KRANJ
11027792,KRANJSKA GORA
11027806,KUZMA
11027814,LAŠKO
11027822,LENDAVA
11027849,LJUBLJANA
11027857,LJUTOMER
11027865,LOŠKA DOLINA
11027873,LUKOVICA
11027881,MARIBOR
11027890,MEDVODE
11027903,METLIKA
11027911,MIREN-KOSTANJEVICA
11027920,MOZIRJE
11027938,MUTA
11027946,NAKLO
11027954,NAZARJE
11027962,NOVO MESTO
11027989,OSILNICA
11027997,PIRAN
11028004,PIVKA
11028012,PODVELKA
11028039,PTUJ
11028047,PUCONCI
11028055,RADEČE
11028063,VIDEM
11028071,VITANJE
11028080,VOJNIK
11028098,VUZENICA
11028101,ZAVRČ
11028128,ŽELEZNIKI
21427624,BENEDIKT
21427632,BISTRICA OB SOTLI
21427659,BLOKE
21427667,BRASLOVČE
21427675,CANKOVA
21427683,CERKVENJAK
21427691,DOBJE
21427705,DOBRNA
21427713,DOBROVNIK
21427721,DOLENJSKE TOPLICE
21427730,GRAD
21427748,HAJDINA
21427756,HOČE-SLIVNICA
21427764,HODOŠ
21427772,HORJUL
21427799,JEZERSKO
21427802,KOMENDA
21427829,KOSTEL
21427837,KRIŽEVCI
21427845,LOVRENC NA POHORJU
21427853,MIRNA PEČ
21427861,OPLOTNICA
21427870,PODLEHNIK
21427888,PREBOLD
21427896,RAZKRIŽJE
21427900,SELNICA OB DRAVI
21427918,SOLČAVA
21427926,ŠEMPETER-VRTOJBA
21427934,TABOR
21427942,TRNOVSKA VAS
21427969,TRZIN
21427977,VERŽEJ
21427985,ŽETALE
21427993,ŽUŽEMBERK
21428019,MARKOVCI
21428027,MIKLAVŽ NA DRAVSKEM POLJU
21428035,POLZELA
21428043,PREVALJE
21428051,RIBNICA NA POHORJU
21428060,SODRAŽICA
21428078,SVETA ANA
21428086,SVETI ANDRAŽ V SLOV. GORICAH
21428094,VELIKA POLANA
21428108,VRANSKO
21428116,ŽIROVNICA
21428124,ŽALEC
21428264,ŠMARTNO PRI LITIJI
21433632,SREDIŠČE OB DRAVI
21433659,STRAŽA
21433667,SV. TROJICA V SLOV. GORICAH
21433675,SVETI TOMAŽ
21433683,ŠMARJEŠKE TOPLICE
21436437,APAČE
21436445,CIRKULANE
21436453,KOSTANJEVICA NA KRKI
21436461,MAKOLE
21436470,MOKRONOG-TREBELNO
21436488,POLJČANE
24063453,RENČE-VOGRSKO
24063461,GORJE
24063470,LOG-DRAGOMER
24063488,REČICA OB SAVINJI
24063496,SVETI JURIJ V SLOV. GORICAH
24063500,ŠENTRUPERT
24063518,MIRNA
24063526,ANKARAN
